กรรม	gam	kamma, action
กล่าว	glàao	to say, recite
กัน	gan	together, one another
การ	gaan	the act of (nominaliser)
กาล	gaan	time, occasion
กาลี	gaa-lii	Kālī (name)
กาสาวะ	gaa-sǎa-wá	ochre robe (kāsāva)
กำลัง	gam-lang	currently (progressive); strength
กิเลส	gì-lèet	defilement, passion
ก็	gɔ̂ɔ	then, also (linking particle)
ของ	kɔ̌ɔng	of, belonging to
ขึ้น	kûen	up, increasingly
คน	kon	person, people
ครอบงำ	krɔ̂ɔp-ngam	to overpower, dominate
ครั้น	krán	when, upon (literary)
ควร	kuan	should, ought
ความ	kwaam	-ness (nominaliser); matter
ความเพียร	kwaam-pian	effort, exertion
คันธาระ	kan-tǎa-rá	Gandhāra (place)
คาย	kaai	to spit out, disgorge
คู่	kûu	pair, couple
ฆ่า	kâa	to kill
งาม	ngaam	beautiful
จบ	jòp	end, finish
จอง	jɔɔng	to reserve; to hold (a grudge)
จะ	jà	will (future marker)
จักขุบาล	jàk-kù-baan	Cakkhupāla (monk's name)
จักขุปาล	jàk-kù-bpaan	Cakkhupāla (monk's name)
จาก	jàak	from
จิต	jìt	mind, consciousness
จึง	jueng	therefore, so
จุนท	jun-tá	Cunda (name)
จุนทะ	jun-tá	Cunda (name)
ฉะนั้น	chà-nán	thus, therefore
ฉันนั้น	chǎn-nán	so too (literary)
ฉันใด	chǎn-dai	just as (literary)
ชน	chon	people, person (formal)
ชนะ	chá-ná	to win, defeat
ชอบ	chɔ̂ɔp	right, proper; to like
ชัด	chát	clear, distinct
ชั่ว	chûa	evil, bad, wicked
ชาว	chaao	inhabitant of, people of
ชีวิต	chii-wít	life
ชื่อ	chûe	name; to be named
ชื่อว่า	chûe-wâa	is called, is said to be
ซึ่ง	sûeng	which, that
ณ	ná	at (formal)
ดังนี้	dang-níi	thus, as follows
ดำริ	dam-rì	thought, intention
ดี	dii	good
ดุจ	dùt	like, as if
ด่า	dàa	to scold, abuse verbally
ด้วย	dûai	with, by means of
ตน	dton	oneself
ตรัส	dtràt	to speak (of the Buddha or royalty)
ตัว	dtua	body, self
ตั้งมั่น	dtâng-mân	firmly established
ตาม	dtaam	to follow; according to
ตาย	dtaai	to die
ติดตาม	dtìt-dtaam	to follow, pursue
ติสส	dtìt-sà	Tissa (name)
ต้นไม้	dtôn-máai	tree
ถ้า	tâa	if
ทมะ	tá-má	self-control (dama)
ทรง	song	royal/monastic verb marker
ทะเลาะ	tá-lɔ́	to quarrel
ทั้งสอง	táng-sɔ̌ɔng	both
ทั้งหลาย	táng-lǎai	all, the various
ทาง	taang	way, path
ทำ	tam	to do, to make
ที่	tîi	that, which; place
ทุกข์	túk	suffering, dukkha
ทุคติ	túk-ká-dtì	woeful realm, bad destination
ธรรม	tam	dhamma; teaching, truth, phenomenon
ธัมมิก	tam-mí-gà	righteous (dhammika)
ธิดา	tí-daa	daughter
นันท	nan-tá	Nanda (name)
นับ	náp	to count
นั้น	nán	that
นาง	naang	lady, Mrs
นาย	naai	mister, master
นี้	níi	this
นุ่งห่ม	nûng-hòm	to wear, don (robes)
น้อย	nɔ́ɔi	little, few
น้ำฝาด	nám-fàat	astringent dye-water (figure for defilement)
บริสุทธิ์	bɔɔ-rí-sùt	pure
บริโภค	bɔɔ-rí-pôok	to consume, eat
บันเทิง	ban-təəng	to be joyful, delighted
บาป	bàap	evil, demerit
บิดา	bì-daa	father (formal)
บุคคล	bùk-kon	person, individual
บุญ	bun	merit
ปกติ	bpòk-gà-dtì	normal, usual; habitually
ปฏิบัติ	bpà-dtì-bàt	to practise, conduct oneself
ประกอบ	bprà-gɔ̀ɔp	to be endowed with, consist of
ประพฤติ	bprà-prúet	to behave, practise
ประมาณ	bprà-maan	measure, moderation
ประมาท	bprà-màat	heedless, negligent
ประสบ	bprà-sòp	to meet with, attain
ปรารภ	bpraa-róp	to take as occasion, refer to
ปราศจาก	bpràat-sà-jàak	free from, devoid of
ปริพาชก	bpà-rí-paa-chók	wandering ascetic (paribbājaka)
ผล	pǒn	fruit, result
ผิด	pìt	wrong
ผูก	pùuk	to tie, bind
ผู้	pûu	one who, person
ผู้ใด	pûu-dai	whoever
ผ้า	pâa	cloth, garment
ฝน	fǒn	rain
พระ	prá	honorific for monks, Buddhas, royalty
พระคาถา	prá-kaa-tǎa	verse, stanza (gāthā)
พระผู้มีพระภาค	prá-pûu-mii-prá-pâak	the Blessed One, the Buddha
พราหมณ์	praam	brahmin
พวก	pûak	group; plural marker
พัด	pát	to blow (of wind)
พายุ	paa-yú	storm, gale
พิจารณา	pí-jaa-rá-naa	to consider, contemplate
พุทธพจน์	pút-tá-pót	the Buddha's word
พูด	pûut	to speak
ภิกขุ	pík-kù	monk (bhikkhu)
ภิกษุ	pík-sù	Buddhist monk
ภูเขา	puu-kǎo	mountain
มหากาล	má-hǎa-gaan	Mahākāla (name)
มัฏฐกุณฑลี	mát-tà-gun-dà-lii	Maṭṭhakuṇḍalī (name)
มัว	mua	preoccupied with; dimmed
มั่นคง	mân-kong	firm, stable
มาก	mâak	much, many
มาร	maan	Māra, the tempter
มี	mii	to have; there is
มุง	mung	to roof, thatch
มุ่งร้าย	mûng-ráai	malice, ill will
ยมก	yá-má-gà	pair, twin (Pali yamaka)
ยักขินี	yák-kì-nii	female yakkha, ogress
ยักษ์	yák	yakkha, ogre
ยัง	yang	still, yet
ยิ่ง	yîng	even more, exceedingly
ยึดติด	yúet-dtìt	to cling, be attached
ย่อม	yɔ̂ɔm	invariably, naturally (formal)
ย่อยยับ	yɔ̂i-yáp	to be ruined, destroyed
ย่อหย่อน	yɔ̂ɔ-yɔ̀ɔn	slack, lax
รด	rót	to pour on, water
รอยเท้า	rɔɔi-táo	footprint
ระงับ	rá-ngáp	to subside, be appeased
รับ	ráp	to receive
รับจ้าง	ráp-jâang	hired, working for wages
รั่ว	rûa	to leak
ราคะ	raa-ká	lust, passion (rāga)
ราคา	raa-kaa	price, value
ราชคฤห์	râat-chá-krúe	Rājagaha (place)
รื่นเริง	rûen-rəəng	cheerful, merry
รู้	rúu	to know
รู้จัก	rúu-jàk	to know, be acquainted with
ลง	long	down
ละ	lá	to abandon, give up
ลัก	lák	to steal
ลาก	lâak	to drag, pull
ล้อ	lɔ́ɔ	wheel
วรรค	wák	chapter, section
วัตถุ	wát-tù	story, account; object, matter
ว่า	wâa	that (complementiser); to say
ว่าด้วย	wâa-dûai	concerning, dealing with
ศรัทธา	sàt-taa	faith, confidence
ศิลา	sì-laa	rock, stone
ศีล	sǐin	moral precepts, virtue
สงบ	sà-ngòp	calm, peaceful
สมควร	sǒm-kuan	fitting, appropriate
สมณะ	sà-má-ná	recluse, ascetic
สหาย	sà-hǎai	friend, companion
สหายก	sà-hǎai-yók	companion (sahāyaka)
สอง	sɔ̌ɔng	two
สัจจะ	sàt-jà	truth, truthfulness
สัญชย	sǎn-chá-yá	Sañjaya (name)
สัญชัย	sǎn-chai	Sañjaya (name)
สาระ	sǎa-rá	essence, substance, pith
สำรวม	sǎm-ruam	to restrain, be composed
สำเร็จ	sǎm-rèt	to accomplish, be completed
สิ่ง	sìng	thing
สิ่งของ	sìng-kɔ̌ɔng	belongings, things
สุกร	sù-gɔɔn	pig
สุข	sùk	happiness, ease
สุคติ	sù-ká-dtì	happy realm, good destination
สุมนา	sù-má-naa	Sumanā (name)
สูกริก	sǔu-gà-rìk	pork butcher (sūkarika)
สู่	sùu	towards, to
ส่วน	sùan	as for; part
หญิง	yǐng	woman
หนึ่ง	nùeng	one
หน้า	nâa	next; face; page
หมวด	mùuat	category, group
หมุน	mǔn	to turn, rotate
หมู่	mùu	group, community
หรือ	rǔe	or
หลุดพ้น	lùt-pón	liberated, freed
หัก	hàk	to break, snap
หัวหน้า	hǔa-nâa	leader, chief
อทินนปุพพก	à-tin-ná-bùp-pá-gà	Adinnapubbaka (name)
อนาถบิณฑิก	à-nàat-bin-tì-gà	Anāthapiṇḍika (name)
อบรม	òp-rom	to train, cultivate
อยู่	yùu	to be at; continuous marker
อินทรีย์	in-sǐi	sense faculties (indriya)
อื่น	ùen	other
อุบาสก	ù-baa-sòk	lay male devotee
อุปาสก	ù-bpaa-sòk	lay male devotee
เกวียน	gwian	cart, wagon
เกียจคร้าน	gìat-kráan	lazy, indolent
เก่า	gào	old, ancient
เขา	kǎo	he, she, they
เข้า	kâo	to enter
เงา	ngao	shadow
เดือดร้อน	dùeat-rɔ́ɔn	to be distressed, troubled
เถร	těe-rá	elder monk (thera)
เถระ	těe-rá	elder monk
เทวทัต	tee-wá-tát	Devadatta (name)
เทวทัตต	tee-wá-tát-dtà	Devadatta (name)
เทวี	tee-wii	goddess, queen
เทฺว	tá-wee	two (Pali dve)
เป็น	bpen	to be, to become
เพราะ	prɔ́	because
เพราะว่า	prɔ́-wâa	because
เพลิดเพลิน	plə̂ət-pləən	to delight in, enjoy
เมือง	mueang	city, town
เรา	rao	we, I, me
เรือน	ruean	house, dwelling
เรื่อง	rûeang	story, matter, about
เลย	ləəi	at all; beyond
เลี้ยง	líang	to raise, tend
เล็ก	lék	small
เวร	ween	enmity, hatred, vengeance
เศรษฐี	sèet-tǐi	wealthy merchant, banker
เศร้าหมอง	sâo-mɔ̌ɔng	defiled, tarnished, gloomy
เศร้าโศก	sâo-sòok	to grieve, sorrow
เสีย	sǐa	to lose, spoil
เหมือน	mǔean	like, as
เหล่า	lào	group, those
เหล่านั้น	lào-nán	those
เหล่าใด	lào-dai	whoever, those who
เห็น	hěn	to see
แก่	gɛ̀ɛ	to, for (indirect object)
แคว้น	kwɛ́ɛn	region, realm
